SN,Field Name,vOCS,Field Type,Description
62,ChargeOfDurationAccounts,CHARGE_OF_DURATION_ACCOUNT,Integer[8],"Indicates the total call time charge using
reword resource.
Value range: -2^63-2^63-1
Not null
The default value is 0."
63,ChargeOfFundAccounts,CHARGE_OF_FUND_ACCOUNT,Integer[8],"Indicates the total cost amount charging
from fund account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
64,ChargeFromPrepaid,CHARGE_FROM_PREPAID,Integer[8],"Indicates the charge amount from prepaid
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
65,PrepaidBalance,AFTER_BASIC_PREPAID,Integer[8],"Indicates the balance of prepaid account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
66,ChargeFromPostpaid,CHARGE_FROM_POSTPAID,Integer[8],"Indicates the charge amount from postpaid
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
67,PostPaidBalance,AFTER_BASIC_POSTPAID,Integer[8],"Indicates the balance of postpaid available
limitation.
Value range: -2^63-2^63-1
Not null
The default value is 0."
68,AccountID,ACCOUNT_ID,Char[20],"Indicates the ID of the main account.
Value range: characters in [0-9, a-z, A-Z]
Not null
The default value is 0."
69,AccountKey,ACCOUNT_KEY,Integer[8],"Indicates the key of the main account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
70,CurrencyCode,CURRENCY,Integer[4],"Currency code. Also, if this field missed or
present be Zero, it means the system use
local minimal currency as default, and no
need to specify in CDR.
The default value is 0.
Can be null"
71,Reserved,RESERVE_NULL,Char[20],-
72,AccountType1,CHARGE_BALANCE_INFO,Integer[4],"Indicates the account type of the first
account.
0 means not used.
Not null
The default value is 0."
73,FeeType1,,Integer[4],"Indicates the fee type of the first account.
0 means not used.
Not null
The default value is 0."
74,ChargeAmount1,,Integer[8],"Indicates the changing amount of the first
account.
0 means not unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
75,CurrentAcctAmount1,,Integer[8],"Indicates the current amount of the first
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
76,AccountType2,,Integer[4],"Indicates the account type of the second
account.
0 means not used.
Not null
The default value is 0."
77,FeeType2,,Integer[4],"Indicates the fee type of the second account.
0 means not used.
Not null
The default value is 0."
78,ChargeAmount2,,Integer[8],"Indicates the changing amount of the second
account.
0 means not unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
79,CurrentAcctAmount2,,Integer[8],"Indicates the current amount of the second
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
80,AccountType3,,Integer[4],"Indicates the account type of the third
account.
0 means not used.
Not null
The default value is 0."
81,FeeType3,,Integer[4],"Indicates the fee type of the third account.
0 means not used.
Not null
The default value is 0."
82,ChargeAmount3,,Integer[8],"Indicates the changing amount of the third
account.
0 means not unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
83,CurrentAcctAmount3,,Integer[8],"Indicates the current amount of the third
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
84,AccountType4,,Integer[4],"Indicates the account type of the fourth
account.
0 means not used.
Not null
The default value is 0."
85,FeeType4,,Integer[4],"Indicates the fee type of the fourth account.
0 means not used.
Not null
The default value is 0."
86,ChargeAmount4,,Integer[8],"Indicates the changing amount of the fourth
account.
0 means not unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
87,CurrentAcctAmount4,,Integer[8],"Indicates the current amount of the fourth
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
88,AccountType5,,Integer[4],"Indicates the account type of the fifth
account.
0 means not used.
Not null
The default value is 0."
89,FeeType5,,Integer[4],"Indicates the fee type of the fifth account.
0 means not used.
Not null
The default value is 0."
90,ChargeAmount5,,Integer[8],"Indicates the changing amount of the fifth
account.
0 means not unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
91,CurrentAcctAmount5,,Integer[8],"Indicates the current amount of the fifth
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
92,AccountType6,,Integer[4],"Indicates the account type of the sixth
account.
0 means not used.
Not null
The default value is 0."
93,FeeType6,,Integer[4],"Indicates the fee type of the sixth account.
0 means not used.
Not null
The default value is 0."
94,ChargeAmount6,,Integer[8],"Indicates the changing amount of the sixth
account.
0 means not unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
95,CurrentAcctAmount6,,Integer[8],"Indicates the current amount of the sixth
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
96,AccountType7,,Integer[4],"Indicates the account type of the seventh
account.
0 means not used.
Not null
The default value is 0."
97,FeeType7,,Integer[4],"Indicates the fee type of the seventh account.
0 means not used.
Not null
The default value is 0."
98,ChargeAmount7,,Integer[8],"Indicates the changing amount of the
seventh account.
0 means not unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
99,CurrentAcctAmount7,,Integer[8],"Indicates the current amount of the seventh
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
100,AccountType8,,Integer[4],"Indicates the account type of the eighth
account.
0 means not used.
Not null
The default value is 0."
101,FeeType8,,Integer[4],"Indicates the fee type of the eighth account.
0 means not used.
Not null
The default value is 0."
102,ChargeAmount8,,Integer[8],"Indicates the changing amount of the eighth
account.
0 means not unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
103,CurrentAcctAmount8,,Integer[8],"Indicates the current amount of the eighth
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
104,AccountType9,,Integer[4],"Indicates the account type of the ninth
account.
0 means not used.
Not null
The default value is 0."
105,FeeType9,,Integer[4],"Indicates the fee type of the ninth account.
0 means not used.
Not null
The default value is 0."
106,ChargeAmount9,,Integer[8],"Indicates the changing amount of the ninth
account.
0 means not unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
107,CurrentAcctAmount9,,Integer[8],"Indicates the current amount of the ninth
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
108,AccountType10,,Integer[4],"Indicates the account type of the tenth
account.
0 means not used.
Not null
The default value is 0."
109,FeeType10,,Integer[4],"Indicates the fee type of the tenth account.
0 means not used.
Not null
The default value is 0."
110,ChargeAmount10,,Integer[8],"Indicates the changing amount of the tenth
account.
0 means not unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
111,CurrentAcctAmount10,,Integer[8],"Indicates the current amount of the tenth
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
112,BonusValidity1,BONUS_VALIDITY_1,Char[14],"Indicates the validity period of the first
rewarded resource. The validity period does
not change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
113,BonusValidity2,BONUS_VALIDITY_2,Char[14],"Indicates the validity period of the second
rewarded resource. The validity period does
not change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
114,BonusValidity3,BONUS_VALIDITY_3,Char[14],"Indicates the validity period of the third
rewarded resource. The validity period does
not change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
115,BonusValidity4,BONUS_VALIDITY_4,Char[14],"Indicates the validity period of the fourth
rewarded resource. The validity period does
not change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
116,BonusValidity5,BONUS_VALIDITY_5,Char[14],"Indicates the validity period of the fifth
rewarded resource. The validity period does
not change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
117,BonusValidity6,BONUS_VALIDITY_6,Char[14],"Indicates the validity period of the sixth
rewarded resource. The validity period does
not change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
118,BonusValidity7,BONUS_VALIDITY_7,Char[14],"Indicates the validity period of the seventh
rewarded resource. The validity period does
not change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
119,BonusValidity8,BONUS_VALIDITY_8,Char[14],"Indicates the validity period of the eighth
rewarded resource. The validity period does
not change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
120,BonusValidity9,BONUS_VALIDITY_9,Char[14],"Indicates the validity period of the ninth
rewarded resource. The validity period does
not change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
121,BonusValidity10,BONUS_VALIDITY_10,Char[14],"Indicates the validity period of the tenth
rewarded resource. The validity period does
not change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
122,OnlineType,ONLINE_TYPE,Integer[4],"Indicates online type.
The options are as follows:
??0: online
??1: offline
The default value is 0."
123,Reserved,EVENT_ID,Char[22],-
124,Reserved,RESERVE_NULL,Char[23],-
125,Reserved,RESERVE_0,Char[24],-
126,AddtionalInfo,RESERVE_NULL,Char[256],-
127,BearerType,RESERVE_0,Integer[4],"Indicates the type of bearer.
The default value is 0.
Can be null"
128,StartTime,EVENT_BEGIN_TIME,Char[14],"Indicates the time when the data connected.
Can be null"
129,StopTime,EVENT_END_TIME,Char[14],"Indicates the time when the data
disconnected.
Can be null"
130,BearerProtocolType,BEARER_PROTOCOL_TYPE,Integer[4],"Indicates the type of the bearer protocol.
When the interconnection between the OCS
system and the AAA system is enabled, this
field indicates the access network type. The
values of the field can be extended later.
The options are as follows:
??01: WAP/IP
??10: HTTP/TCP/IP
??20: STMP
??30: RTSP
??40: FTP
??100: ADSL/LAN
??101: Dial-Up/ISDN
??102: WiFi
??200: GPRS/UMTS
??300: CDMA
??400: WiMAX
??500: TD-SCDMA
??other: to be extended
The default value is 0.
Can be null"
131,ChargingID,CHARGING_ID,Char[20],"Indicates the charge ID, the system can
charge the subscriber according to this ID.
Can be null"
132,ServiceLevel,RESERVE_0,Integer[4],"Indicates the level of the data service.
The default value is 0.
Can be null"
133,StartTimeOfBillCycle,START_BILL_CYCLE,Char[14],"Indicates the start time of bill cycle.
Can be null"
134,ChargePartyIndicator,CHARGE_PARTY_INDICATOR,Char[1],"Indicates the charging party.
The options are as follows:

??1: The calling party is charged
??2: The called party is charged
??3: Charge of third party
??4: Charge of parent & child card
??5: Charge of calling party & VPN
Can be null"
135,SecondChargingPartyNumber,RESERVE_NULL,Char[64],"Indicates the number of the other charging
party of the child-parent cards. In the
example, the value of the field is the number
of subscriber C.
The number is same as calling party number
in MO and called party number in MT.
There are several special situations. Like
Child-Parent card feature, the calling party
number is the child, the charging party
number is the parent's number. This field is
null when the service is paid only by
account.
The number format are as follows:
??Area number + PSTN
The number format is the format of the
fixed-line telephone number.
??MSISDN
The number format is the format of the
mobile phone number.
??For?URI?format, example,
ABC DE@huawei.com
Value range: numerals within 0-9, *, #
For URI format,value range: [0-9,a-z,A-
Z,_,-,.,@]
Can be null"
136,SecondChargingPartyPayType,RESERVE_NULL,Char[1],"Indicates the payment type of the other
charging party of the child-parent cards.
The options are as follows:
??0: Prepaid
??1: Postpaid
??2: Hybrid
NOTE
If the value of the field is null, the system records
the payment type of the parent card subscriber.
Can be null"
137,SecondChargingPartyBillCycleID,RESERVE_NULL,Char[20],"Indicates the bill cycle ID of the other
charging party of the child-parent cards. For
example, the bill cycle ID of the parent card.
Format: YYYYMMTT
The description of the format is as follows:
??YYYY: indicates the year.
??MM: indicates the month.
??TT: indicates the type of a bill cycle.
Can be null"
138,CallingVPNTopGroupNumber,RESERVE_NULL,Char[15],-
139,CallingVPNGroupNumber,RESERVE_NULL,Char[10],-
140,CallingVPNShortNumber,RESERVE_NULL,Char[10],-
141,CalledVPNTopGroupNumber,RESERVE_NULL,Char[15],-
142,CalledVPNGroupNumber,RESERVE_NULL,Char[10],-
143,CalledVPNShortNumber,RESERVE_NULL,Char[10],-
144,CallingNetworkType,RESERVE_NULL,Char[10],-
145,CalledNetworkType,RESERVE_NULL,Char[10],-
146,GroupCallType,RESERVE_NULL,Char[10],-
147,GroupPayFlag,RESERVE_NULL,Char[10],-
148,Reserved,RESERVE_NULL,Char[10],-
149,Reserved,RESERVE_NULL,Char[10],-
150,Reserved,RESERVE_NULL,Char[10],-
151,Reserved,RESERVE_NULL,Char[10],-
152,Reserved,RESERVE_NULL,Char[10],-
153,ChargeOfFluxSecondAccounts,RESERVE_0,Integer[8],"Indicates the free call times used from
others, such as the parent card.
Value range: -2^31-2^31-1
Not null
The default value is 0."
154,ChargeOfDurationSecondAccounts,RESERVE_0,Integer[8],"Indicates the total call time charge using
reward resource from others, such as the
parent card.
Value range: -2^31-2^31-1
Not null
The default value is 0."
155,ChargeOfFundSecondAccounts,RESERVE_0,Integer[8],"Indicates the total cost amount charging
from fund account of others, such as the
parent card.
Value range: -2^63-2^63-1
Not null
The default value is 0."
156,ChargeFromSecondPrepaidAccount,RESERVE_0,Integer[8],"Indicates the charge amount from other
prepaid account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
157,SecondPrepaidAccountBalance,RESERVE_0,Integer[8],"Indicates the balance of other prepaid
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
158,ChargeFromSecondPostpaidAccount,RESERVE_0,Integer[8],"Indicates the charge amount from other
postpaid account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
159,SecondPostpaidAccountBalance,RESERVE_0,Integer[8],"Indicates the balance of other postpaid
account.
Value range: -2^63-2^63-1
Not null
The default value is 0."
160,SecondAccountID,RESERVE_NULL,Char[20],"Indicates the main account ID of the other
charging party that the system deducts fees
from."
161,SecondAccountKey,RESERVE_0,Integer[8],"Indicates the main account key of the other
charging party that the system deducts fees
from.
Value range: -2^63-2^63-1
Not null
The default value is 0."
162,SecondAccountCurrencyCode,RESERVE_0,Integer[4],"Currency code of others, such as the parent
card. Also, if this field missed or present be
Zero, it means the system use local minimal
currency as default, and no need to specify
in CDR.
The default value is 0."
163,Reserved,RESERVE_NULL,Char[20],-
164,SecondAccountType1,RESERVE_0,Integer[4],"Indicates the account type of the first account
of others, such as the parent card.
0 means not used.
Not null
The default value is 0."
165,SecondFeeType1,RESERVE_0,Integer[4],"Indicates the fee type of the first account of
others, such as the parent card.
0 means not used.
Not null
The default value is 0."
166,SecondChargeAmount1,RESERVE_0,Integer[8],"Indicates the changing amount of the first
account of others, such as the parent card.
0 means unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
167,SecondCurrentAcctAmount1,RESERVE_0,Integer[8],"Indicates the current amount of the first
account of others, such as the parent card.
Value range: -2^63-2^63-1
Not null
The default value is 0."
168,SecondAccountType2,RESERVE_0,Integer[4],"Indicates the account type of the second
account of others, such as the parent card.
0 means not used.
Not null
The default value is 0."
169,SecondFeeType2,RESERVE_0,Integer[4],"Indicates the fee type of the second account
of others, such as the parent card.
0 means not used.
Not null
The default value is 0."
170,SecondChargeAmount2,RESERVE_0,Integer[8],"Indicates the changing amount of the second
account of others, such as the parent card.
0 means unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
171,SecondCurrentAcctAmount2,RESERVE_0,Integer[8],"Indicates the current amount of the second
account of others, such as the parent card.
Value range: -2^63-2^63-1
Not null
The default value is 0."
172,SecondAccountType3,RESERVE_0,Integer[4],"Indicates the account type of the third
account of others, such as the parent card.
0 means not used.
Not null
The default value is 0."
173,SecondFeeType3,RESERVE_0,Integer[4],"Indicates the fee type of the third account of
others, such as the parent card.
0 means not used.
Not null
The default value is 0."
174,SecondChargeAmount3,RESERVE_0,Integer[8],"Indicates the changing amount of the third
account of others, such as the parent card.
0 means unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
175,SecondCurrentAcctAmount3,RESERVE_0,Integer[8],"Indicates the current amount of the third
account of others, such as the parent card.
Value range: -2^63-2^63-1
Not null
The default value is 0."
176,SecondAccountType4,RESERVE_0,Integer[4],"Indicates the account type of the fourth
account of others, such as the parent card.
0 means not used.
Not null
The default value is 0."
177,SecondFeeType4,RESERVE_0,Integer[4],"Indicates the fee type of the fourth account
of others, such as the parent card.
0 means not used.
Not null
The default value is 0."
178,SecondChargeAmount4,RESERVE_0,Integer[8],"Indicates the changing amount of the fourth
account of others, such as the parent card.
0 means unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
179,SecondCurrentAcctAmount4,RESERVE_0,Integer[8],"Indicates the current amount of the fourth
account of others, such as the parent card.
Value range: -2^63-2^63-1
Not null
The default value is 0."
180,SecondAccountType5,RESERVE_0,Integer[4],"Indicates the account type of the fifth
account of others, such as the parent card.
0 means not used.
Not null
The default value is 0."
181,SecondFeeType5,RESERVE_0,Integer[4],"Indicates the fee type of the fifth account of
others, such as the parent card.
0 means not used.
Not null
The default value is 0."
182,SecondChargeAmount5,RESERVE_0,Integer[8],"Indicates the changing amount of the fifth
account of others, such as the parent card.
0 means unchanged.
Value range: -2^63-2^63-1
Not null
The default value is 0."
183,SecondCurrentAcctAmount5,RESERVE_0,Integer[8],"Indicates the current amount of the fifth
account of others, such as the parent card.
Value range: -2^63-2^63-1
Not null
The default value is 0."
184,SecondBonusValidity1,RESERVE_NULL,Char[14],"Indicates the validity period of the first
rewarded resource of others, such as the
parent card. The validity period does not
change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
185,SecondBonusValidity2,RESERVE_NULL,Char[14],"Indicates the validity period of the second
rewarded resource of others, such as the
parent card. The validity period does not
change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
186,SecondBonusValidity3,RESERVE_NULL,Char[14],"Indicates the validity period of the third
rewarded resource of others, such as the
parent card. The validity period does not
change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
187,SecondBonusValidity4,RESERVE_NULL,Char[14],"Indicates the validity period of the fourth
rewarded resource of others, such as the
parent card. The validity period does not
change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
188,SecondBonusValidity5,RESERVE_NULL,Char[14],"Indicates the validity period of the fifth
rewarded resource of others, such as the
parent card. The validity period does not
change when fees are deducted from
accounts. In this case, the validity periods of
consumption resources are not recorded.
Format: YYYYMMDDhhmmss
Can be null"
